set_number,Jac,Jac_turn,Jac_nest,Sor_turn,Sor_nest
12,0.631578947368421,0.5882352941176471,0.04334365325077399,0.4166666666666667,0.04487179487179488
13,0.6923076923076924,0.6666666666666666,0.02564102564102564,0.5,0.029411764705882353
14,0.9375,0.8571428571428571,0.08035714285714285,0.75,0.1323529411764706
15,0.8333333333333333,0.5714285714285714,0.2619047619047619,0.4,0.31428571428571433
16,0.8823529411764706,0.5,0.38235294117647056,0.3333333333333333,0.456140350877193
3,0.7142857142857143,0.6666666666666666,0.047619047619047616,0.5,0.05555555555555555
7,1,1,0,1,0
9,0.7499999999999999,0.6666666666666666,0.08333333333333333,0.5,0.10000000000000002
1,0.7499999999999999,0,0.75,0,0.6
10,0.6666666666666666,0.5714285714285714,0.09523809523809523,0.4,0.1
2,0.5714285714285715,0.5714285714285714,0,0.4,0
4,0.7142857142857143,0,0.7142857142857143,0,0.5555555555555556
5,0.6666666666666666,0,0.6666666666666666,0,0.5
6,0.7142857142857143,0.5,0.21428571428571427,0.3333333333333333,0.2222222222222222
8,0.625,0.5714285714285714,0.05357142857142857,0.4,0.05454545454545454
11,0.25,0,0.25,0,0.14285714285714285
