LIT,Incidence,Detection,Mean Biomass (kg/km)
Allosmerus elongatus,1,only trawl,0.001151730641120195
Artedius harringtoni,1,only eDNA,NA
Artedius lateralis,1,only eDNA,NA
Ascelichthys rhodorus,1,only eDNA,NA
Beringraja binoculata,1,only eDNA,NA
Clinocottus acuticeps,1,only eDNA,NA
Cryptacanthodes giganteus,1,only eDNA,NA
Entosphenus tridentatus,1,only trawl,0.0033564855123736463
Hippoglossoides elassodon,1,only eDNA,NA
Icelinus borealis,1,only eDNA,NA
Lepidopsetta bilineata/polyxystra,1,only eDNA,NA
Leptoclinus maculatus,1,only eDNA,NA
Liparidae1,1,only eDNA,NA
Liparis fucensis,1,only eDNA,NA
Odontopyxis trispinosa,1,only eDNA,NA
Oncorhynchus mykiss,1,only eDNA,NA
Ophiodon elongatus,1,only eDNA,NA
Parophrys vetulus,1,only trawl,0.010603052761413915
Pleuronectidae1,1,only eDNA,NA
Reinhardtius hippoglossoides,1,only trawl,0.1961564760861574
Sebastolobus macrochir,1,only eDNA,NA
Spirinchus starksi,1,only trawl,0.0023126031855975277
Zoarcidae,1,only trawl,0.003190081242977578
Anoplarchus insignis/purpurescens,2,only eDNA,NA
Gobiesox maeandricus,2,only eDNA,NA
Hydrolagus colliei,2,only eDNA,NA
Liparis dennyi/fucensis,2,only eDNA,NA
Liparis mucosus,2,only eDNA,NA
Lyopsetta exilis,2,only eDNA,NA
Mallotus villosus,2,both eDNA/trawl,1.2174974808833858e-4
Oligocottus maculosus/snyderi,2,only eDNA,NA
Pholis laeta/ornata,2,only eDNA,NA
Eopsetta jordani,3,only eDNA,NA
Embiotoca lateralis,4,only eDNA,NA
Cymatogaster aggregata,5,only eDNA,NA
Diaphus theta,5,both eDNA/trawl,0.008753260868353789
Engraulis mordax,5,both eDNA/trawl,0.002310049563633269
Hippoglossus stenolepis,5,only eDNA,NA
Xiphister atropurpureus/mucosus,5,only eDNA,NA
Alosa sapidissima,6,both eDNA/trawl,0.01865614902192353
Ammodytes hexapterus,6,both eDNA/trawl,0.0020809670972711087
Citharichthys stigmaeus,6,only eDNA,NA
Hexagrammos decagrammus,6,only eDNA,NA
Phytichthys chirus,6,only eDNA,NA
Microstomus pacificus,7,only eDNA,NA
Citharichthys sordidus,9,only eDNA,NA
Gadus macrocephalus,9,only eDNA,NA
Oncorhynchus kisutch,10,both eDNA/trawl,0.07100621276382646
Pholis laeta,10,only eDNA,NA
Anoplopoma fimbria,12,both eDNA/trawl,0.12219195689718841
Glyptocephalus zachirus,12,only eDNA,NA
Oncorhynchus gorbuscha,14,both eDNA/trawl,0.06923829440073606
Oncorhynchus keta,14,both eDNA/trawl,0.055036271350672183
Oncorhynchus nerka,14,both eDNA/trawl,3.865681046140452
Oncorhynchus tshawytscha,14,both eDNA/trawl,0.82755572075075
Clupea pallasii,15,both eDNA/trawl,0.2363149510920287
Sebastes,15,both eDNA/trawl,0.3405436853664991
Thaleichthys pacificus,15,both eDNA/trawl,0.05529729879480214
Gadus chalcogrammus,16,both eDNA/trawl,2.7934365065019273
Merluccius productus,16,both eDNA/trawl,3.387087197594904
Squalus suckleyi,16,both eDNA/trawl,1.3609573511133395
